Dup?,Merge?,Reason,Merged in Moztrap?,Case ID 1,Case ID 2,Case 1 ,Case 2,Diff,CaseVersion ID 1,CaseVersion ID 2
No,Yes,actions perform on different target,Yes,706,707,https://moztrap.mozilla.org/manage/cases/?filter-id=706,https://moztrap.mozilla.org/manage/cases/?filter-id=707,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210201&rhs=210202,210201,210202
No,No,Different test points in the two cases,,706,1696,https://moztrap.mozilla.org/manage/cases/?filter-id=706,https://moztrap.mozilla.org/manage/cases/?filter-id=1696,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210201&rhs=210521,210201,210521
No,No,Different test points in the two cases,,706,2367,https://moztrap.mozilla.org/manage/cases/?filter-id=706,https://moztrap.mozilla.org/manage/cases/?filter-id=2367,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210201&rhs=211079,210201,211079
No,No,Different test points in the two cases,,706,2412,https://moztrap.mozilla.org/manage/cases/?filter-id=706,https://moztrap.mozilla.org/manage/cases/?filter-id=2412,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210201&rhs=211116,210201,211116
No,No,Different test points in the two cases,,707,2367,https://moztrap.mozilla.org/manage/cases/?filter-id=707,https://moztrap.mozilla.org/manage/cases/?filter-id=2367,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210202&rhs=211079,210202,211079
No,No,"Different test points in the two cases, and the TC 708 has been disabled.",,708,1330,https://moztrap.mozilla.org/manage/cases/?filter-id=708,https://moztrap.mozilla.org/manage/cases/?filter-id=1330,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210203&rhs=210236,210203,210236
No,Yes,The values of settings and the list of settings can be merged,Yes,1294,1338,https://moztrap.mozilla.org/manage/cases/?filter-id=1294,https://moztrap.mozilla.org/manage/cases/?filter-id=1338,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210205&rhs=210243,210205,210243
,,Smoke test TC,,1303,1304,https://moztrap.mozilla.org/manage/cases/?filter-id=1303,https://moztrap.mozilla.org/manage/cases/?filter-id=1304,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210214&rhs=210215,210214,210215
,,Smoke test TC,,1304,1305,https://moztrap.mozilla.org/manage/cases/?filter-id=1304,https://moztrap.mozilla.org/manage/cases/?filter-id=1305,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210215&rhs=210216,210215,210216
,,Smoke test TC,,1331,1333,https://moztrap.mozilla.org/manage/cases/?filter-id=1331,https://moztrap.mozilla.org/manage/cases/?filter-id=1333,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210237&rhs=210239,210237,210239
,,Smoke test TC,,1332,1333,https://moztrap.mozilla.org/manage/cases/?filter-id=1332,https://moztrap.mozilla.org/manage/cases/?filter-id=1333,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210238&rhs=210239,210238,210239
Yes,NO, TC 1337 is the same with TC 1294,,1336,1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210242,210241,210242
No,No,TC 1336 has been merged with TC 1337,,1336,1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210251,210241,210251
No,No,TC 1336 has been merged with TC 1337,,1336,1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210322,210241,210322
No,No,TC 1336 has been merged with TC 1337,,1336,1436,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1436,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210332,210241,210332
No,No,TC 1336 has been merged with TC 1337,,1336,1438,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1438,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210334,210241,210334
No,No,TC 1336 has been merged with TC 1337,,1336,1499,https://moztrap.mozilla.org/manage/cases/?filter-id=1336,https://moztrap.mozilla.org/manage/cases/?filter-id=1499,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210241&rhs=210387,210241,210387
No,No,Different test points in the two cases,,1337,1346,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1346,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210242&rhs=210251,210242,210251
No,No,Different test points in the two cases,,1337,1426,https://moztrap.mozilla.org/manage/cases/?filter-id=1337,https://moztrap.mozilla.org/manage/cases/?filter-id=1426,http://shinglyu.github.io/moztrap-new-ui/diff.html?lhs=210242&rhs=210322,210242,210322
